avg_student_gain,class_size,years_experience,education_level,professional_development_hours,subject_area,school_type,student_demographics,teaching_method,parental_involvement,resource_availability,effectiveness_score
9.777584158675683,,23.16231339351316,Masters,85.38712380175399,Language,Suburban,Homogeneous,Project-Based,Medium,Limited,3.698433357953202
17.95875048885504,44.0,8.53526644486864,Masters,66.27924386941417,Science,Suburban,Diverse,Traditional,High,Abundant,7.694395726468213
21.694695390221533,21.0,16.256671351832402,Professional,41.37239836893855,Social Studies,Rural,High Needs,Technology-Based,Low,Abundant,8.217341577827497
5.3706517630629165,10.0,24.64878647597341,,67.4774520796936,Science,Urban,High Needs,Interactive,High,Abundant,8.652102768720443
13.822033013066044,30.0,17.780833170534734,Bachelors,90.1310521271515,Social Studies,Rural,Diverse,Interactive,Low,Limited,6.287584530492138
7.780832135179372,44.0,32.528114626036825,Masters,46.98959261439727,Arts,Rural,Diverse,Traditional,Medium,Abundant,9.142579205323013
14.044488352748099,32.0,30.94497021118799,Bachelors,92.20267089866772,Language,Suburban,Homogeneous,Technology-Based,High,Adequate,2.245353837334632
19.762351697880415,27.0,22.579405706859703,Masters,69.57522672249893,Science,Urban,Homogeneous,Traditional,Medium,Limited,6.556613721035497
10.366906317675394,32.0,31.569985039057997,Bachelors,5.239071346791258,Social Studies,Urban,Homogeneous,Technology-Based,Medium,Abundant,6.055407393235201
13.328806326002587,33.0,23.10660443522588,Bachelors,13.416354287992604,,Suburban,High Needs,Traditional,High,Adequate,4.991883531170713
6.391959947508323,22.0,21.470094744762562,Professional,61.718963855856316,Science,Suburban,Diverse,Technology-Based,Low,Adequate,5.937808940221554
22.23487280965341,42.0,,Masters,50.98528894908802,Language,Suburban,Homogeneous,Interactive,Low,Adequate,1.5899136961407883
20.656516775335298,31.0,27.11894618463116,Professional,0.2725440902287213,Social Studies,Rural,Homogeneous,,Medium,Limited,7.408295082405276
12.402831659481278,43.0,12.570581821280374,Professional,28.871010100167283,Arts,Urban,Diverse,,Low,Limited,5.1542800369898805
10.338282892921987,43.0,24.519599353033446,Bachelors,79.93136951134132,Language,Rural,Homogeneous,Technology-Based,High,Limited,8.432285701835582
22.244334089194663,34.0,,Bachelors,80.81564682965161,Science,Rural,Diverse,Interactive,High,Abundant,7.808645003172602
16.488425511067643,44.0,8.025775590771627,Bachelors,23.99216435359791,Math,Urban,,Technology-Based,Medium,Abundant,7.821086182010143
18.372305185280847,21.0,23.934841692303543,Masters,24.327195965082836,Language,Rural,High Needs,Technology-Based,Low,Limited,3.6492785604757003
13.360661898918998,39.0,6.4359166208480945,Doctorate,,Social Studies,Suburban,Homogeneous,Technology-Based,Low,Abundant,6.842998628931128
9.225699626050636,14.0,8.486886485098214,Masters,54.334949236650274,Language,Rural,High Needs,Traditional,Medium,Adequate,8.206538339008937
8.842862130885557,22.0,11.879615578928926,Masters,9.821079000387002,Science,Suburban,Homogeneous,Project-Based,High,Adequate,6.06465879066082
8.913181108470642,,2.117556127139887,Masters,21.097559986230742,Social Studies,Rural,High Needs,Project-Based,High,Limited,2.261513638800228
10.121228608517544,,12.893942160205519,Doctorate,79.76404871928027,Arts,Rural,Diverse,Technology-Based,High,Abundant,7.717156097223892
24.191623861734634,35.0,2.3567952743909855,Doctorate,96.44846688953717,Language,Suburban,Diverse,Traditional,Low,,8.53652587087561
21.255697149737472,13.0,4.713825157330543,Doctorate,90.478922543602,Science,Rural,Diverse,Project-Based,High,Abundant,2.0510701143391676
5.844818743956212,42.0,34.36016763476108,Doctorate,2.232164475491216,Science,,High Needs,,High,Limited,5.163404320952257
21.762194390223645,31.0,17.31009124761897,Doctorate,77.72440996522649,Social Studies,Urban,High Needs,Traditional,Low,Adequate,
23.38107768710838,36.0,26.38079873875569,Doctorate,14.818926000552612,Arts,Urban,High Needs,Traditional,High,Adequate,6.117920641134634
10.708511081932288,31.0,3.271983889004812,Professional,16.21528067072,Language,Rural,Homogeneous,Interactive,High,Abundant,9.574463414118771
17.26138756620572,33.0,9.798211190390221,Professional,97.64174794332585,Science,Suburban,Homogeneous,Interactive,Low,Abundant,1.1788883768338385
19.092536615606758,26.0,10.405808573573323,Masters,94.14840161491247,Arts,Urban,Diverse,Project-Based,,Limited,2.7558705923059597
6.775150674678576,37.0,15.496291175641721,Masters,6.186361445049437,Arts,Suburban,,Interactive,Medium,Abundant,4.276478067317458
9.366282436907287,41.0,4.788562267153574,Professional,37.57000796804058,Social Studies,Urban,Homogeneous,Technology-Based,Medium,Abundant,1.9243962483481896
11.826584442247043,32.0,34.423733879333355,Bachelors,41.21509995280347,Science,Urban,Diverse,Traditional,Low,Limited,3.0249302356115075
17.097074580109926,40.0,25.6859111367193,,40.69794085165351,Social Studies,Urban,Homogeneous,Project-Based,Low,Abundant,7.373683557753854
11.26149521625689,41.0,16.452323421949778,Bachelors,17.770418521536758,Math,Rural,Homogeneous,Interactive,Low,Abundant,1.107232346507873
13.712697959334527,27.0,25.574100441621212,Bachelors,98.48046121443001,Math,Urban,High Needs,Traditional,High,Limited,2.940045896219215
6.580098455416447,33.0,27.173344295475143,Professional,85.52292691164479,Math,Urban,Diverse,Traditional,High,Adequate,4.876027854556884
10.607012875665017,18.0,,Bachelors,88.67124448604827,Math,Suburban,Homogeneous,Traditional,High,Limited,4.807473536804162
24.27093168078794,28.0,3.2482523157683927,Masters,51.53414639499528,Social Studies,Suburban,Diverse,Traditional,Low,Adequate,7.82694872286223
22.747155199944814,27.0,4.0948633027146775,Doctorate,86.54314091621096,Science,Suburban,Diverse,Technology-Based,Medium,Limited,1.3068511590691716
,,3.9655725364814094,Masters,32.908401601416905,Language,Suburban,Diverse,Traditional,High,Abundant,2.1372263932858626
7.486624815025782,39.0,15.22010153949085,Professional,97.91347580790382,Social Studies,,High Needs,Traditional,Medium,Adequate,2.811760957012174
22.626341157115867,30.0,4.113112282682391,Professional,47.314244647826975,Language,Urban,Homogeneous,Traditional,Low,Limited,4.689777473391245
6.914601865583128,33.0,12.953946475697856,Doctorate,87.71457841876278,Math,Rural,Homogeneous,Interactive,Low,Limited,6.62441999913798
10.352040737963705,21.0,13.03193433809334,Bachelors,68.30485776203167,Math,Urban,High Needs,,High,Limited,2.4498903262798324
8.88630664589148,15.0,,Doctorate,9.226273686216057,Social Studies,Urban,Homogeneous,Traditional,Low,Abundant,6.067594428938834
8.538685367639376,33.0,27.876547787960448,Doctorate,25.505427582248963,Language,Suburban,Diverse,Interactive,Low,Abundant,7.704397129116028
18.784592706755728,44.0,30.901289031195006,Professional,15.500702538929934,Language,Rural,Homogeneous,Project-Based,Low,Limited,9.382788878135907
7.583858618750936,20.0,19.593979460525727,Bachelors,97.94762048693272,Language,Rural,Homogeneous,Technology-Based,Low,Adequate,5.689003519006092
22.450769337857782,26.0,4.873694719989632,Masters,93.35125723111884,Science,Suburban,Diverse,Project-Based,High,Limited,2.909256391350005
13.308125820762125,15.0,,Bachelors,65.01110310805068,Math,Urban,Diverse,Technology-Based,High,Adequate,1.9517026328084879
5.868332336646274,20.0,5.100856770741096,Masters,82.95786116163698,Social Studies,Urban,High Needs,Traditional,High,Limited,4.4908196159048686
21.89894490683175,43.0,28.67788593810611,Doctorate,97.60225061260098,Math,Suburban,Homogeneous,Technology-Based,Medium,Abundant,9.22622367945994
19.01476588236085,,6.117156969192963,Bachelors,49.81480110910429,Language,Suburban,Homogeneous,Technology-Based,Medium,Adequate,4.933647837002594
20.781956631427413,34.0,10.238909688818623,Bachelors,0.2503520582258334,Science,Rural,Homogeneous,Technology-Based,Low,Abundant,7.482074228641538
